photo_id,latitude,longitude,user_tags,taken_time,url,user_id,username,realname,registered_location,photos_count
52572081095,43.079358,-89.424034,[],2022-12-18 13:08:58,https://www.flickr.com/photos/167553772@N02/52572081095/,167553772@N02,hienvv,Hien,Vietnam,321
52571909094,43.080283,-89.425107,[],2022-12-18 13:00:50,https://www.flickr.com/photos/167553772@N02/52571909094/,167553772@N02,hienvv,Hien,Vietnam,321
52572080620,43.078967,-89.425096,[],2022-12-18 12:57:54,https://www.flickr.com/photos/167553772@N02/52572080620/,167553772@N02,hienvv,Hien,Vietnam,321
52533098786,43.078497,-89.410344,"['retired', 'lakemendota', 'madison', 'nikond200', 'wisconsin']",2008-08-06 16:43:10,https://www.flickr.com/photos/jcdoss/52533098786/,132625184@N08,Jason Doss,Jason Doss,Ingelheim am Rhein,9594
52529277687,43.087593,-89.432069,"['hawk', 'fall', 'leaves', 'rodent', 'redtailedhawk', 'raptor', 'd500', 'predation', 'nature', 'animal', 'bird', 'birdofprey', 'tamron150600g2']",2022-10-12 22:52:54,https://www.flickr.com/photos/mkaehrle/52529277687/,193483104@N04,Martin Kaehrle,,,75
52478616506,43.075236,-89.414281,[],2022-11-01 10:19:29,https://www.flickr.com/photos/167553772@N02/52478616506/,167553772@N02,hienvv,Hien,Vietnam,321
52236927724,43.076975,-89.425234,[],2022-07-23 17:55:08,https://www.flickr.com/photos/167553772@N02/52236927724/,167553772@N02,hienvv,Hien,Vietnam,321
52217749177,43.090116,-89.431318,[],2022-06-12 17:00:28,https://www.flickr.com/photos/195829403@N07/52217749177/,195829403@N07,PhilipV_,Philip V,,325
52219028584,43.089920,-89.432466,[],2022-06-03 14:12:33,https://www.flickr.com/photos/195829403@N07/52219028584/,195829403@N07,PhilipV_,Philip V,,325
52218830290,43.083730,-89.429322,[],2022-07-14 17:13:46,https://www.flickr.com/photos/rwiskowski/52218830290/,18378985@N08,Rita Wiskowski,,,5499
52218363623,43.083801,-89.429687,"['ybsanimals22', 'damselfly', 'commonyellowthroat', 'warbler', 'yellow', 'july', 'wabler', 'geothlypistrichas', 'ybsthroughherlens22']",2022-07-14 17:19:46,https://www.flickr.com/photos/rwiskowski/52218363623/,18378985@N08,Rita Wiskowski,,,5499
52218621179,43.083973,-89.430212,[],2022-07-14 17:33:47,https://www.flickr.com/photos/rwiskowski/52218621179/,18378985@N08,Rita Wiskowski,,,5499
52218620549,43.086927,-89.420074,[],2022-07-14 18:45:20,https://www.flickr.com/photos/rwiskowski/52218620549/,18378985@N08,Rita Wiskowski,,,5499
52218363073,43.087570,-89.418851,"['woodpecker', 'dryobatesvillosus', 'hairywoodpecker', 'bird']",2022-07-14 18:50:05,https://www.flickr.com/photos/rwiskowski/52218363073/,18378985@N08,Rita Wiskowski,,,5499
52210315424,43.089082,-89.429386,[],2022-07-10 19:47:11,https://www.flickr.com/photos/195829403@N07/52210315424/,195829403@N07,PhilipV_,Philip V,,325
52207008121,43.089732,-89.415160,[],2022-07-03 12:36:25,https://www.flickr.com/photos/kewing/52207008121/,32219803@N00,kewing,Keith Ewing,St. Cloud MN,19215
52205997222,43.089732,-89.415160,[],2022-07-03 12:38:47,https://www.flickr.com/photos/kewing/52205997222/,32219803@N00,kewing,Keith Ewing,St. Cloud MN,19215
