photo_id,latitude,longitude,user_tags,taken_time,url,user_id,username,realname,registered_location,photos_count,user_longitude,user_latitude
52464028712,42.992502,-89.361706,"['oregon', 'wisconsin', 'unitedstates', 'outdoorphotography', 'naturephotography', 'landscape', 'sunrise', 'colorful', 'fog', 'red', 'orange', 'nature', 'sky', 'yellow']",2022-10-30 07:17:03,https://www.flickr.com/photos/achuckseyeview/52464028712/,165653529@N02,AChucksEyeView,Chuck Wagner,"Madison, WI, United State",444,,
52464016905,43.000641,-89.425195,[],2022-10-29 10:54:39,https://www.flickr.com/photos/8053172@N07/52464016905/,8053172@N07,dragonspics,,,924,-999.0,-999.0
52463047457,43.012188,-89.432067,[],2022-10-29 11:44:46,https://www.flickr.com/photos/8053172@N07/52463047457/,8053172@N07,dragonspics,,,924,-999.0,-999.0
52463019177,43.066497,-89.488914,"['wisconsin', 'madison', 'keelson', 'drive', 'tree', 'birch', 'grass', 'pampas']",2022-10-29 15:31:28,https://www.flickr.com/photos/ggppix/52463019177/,32928504@N06,ggppix,Gary Price,"Madison, Wisconsin, United States",1395,,
52462684486,43.066250,-89.490006,"['foliage', 'colors', 'fall', 'autumn', 'wisconsin', 'dane', 'county', 'madison', 'faircrest', 'neighborhood']",2022-10-29 10:57:50,https://www.flickr.com/photos/ggppix/52462684486/,32928504@N06,ggppix,Gary Price,"Madison, Wisconsin, United States",1395,,
52461415216,43.066669,-89.490106,"['leaves', 'color', 'fall', 'autumn', 'usa', 'wisconsin', 'danecounty', 'madison', 'geotagged']",2022-10-28 16:55:42,https://www.flickr.com/photos/ggppix/52461415216/,32928504@N06,ggppix,Gary Price,"Madison, Wisconsin, United States",1395,,
52459582126,43.073283,-89.460884,"['clouds', 'sunrise', 'iphone13pro', 'iphone', 'madison', 'wisconsin', '2022']",2022-10-27 07:18:36,https://www.flickr.com/photos/antlers2/52459582126/,78051834@N00,Steve Schar,Steve Schar,"Sun Prairie, WI, USA",16481,,
52456545507,43.106733,-89.351070,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-09-05 09:59:22,https://www.flickr.com/photos/tipocracia/52456545507/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52456544612,43.106733,-89.351070,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-09-05 09:59:31,https://www.flickr.com/photos/tipocracia/52456544612/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457334444,43.106733,-89.351070,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-09-05 10:00:30,https://www.flickr.com/photos/tipocracia/52457334444/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
