,ZCTA5_x,ZCTA5_y,visitor_flows_x,latitude,longitude,latitude_y,longitude_y
75,53515,53705,16,43.1163045,-89.7567693,43.0716332,-89.46003689999999
76,53515,53706,0,43.1163045,-89.7567693,43.1054334,-89.42692869999999
77,53515,53711,30,43.1163045,-89.7567693,43.01563729999999,-89.4318454
78,53515,53713,9,43.1163045,-89.7567693,43.0324123,-89.3843206
79,53515,53714,0,43.1163045,-89.7567693,43.099931,-89.3084607
80,53515,53715,8,43.1163045,-89.7567693,43.0592056,-89.4008958
81,53515,53716,11,43.1163045,-89.7567693,43.0709333,-89.32743909999999
82,53515,53717,29,43.1163045,-89.7567693,43.0718858,-89.5167298
83,53515,53718,0,43.1163045,-89.7567693,43.0850514,-89.25622390000001
84,53515,53719,52,43.1163045,-89.7567693,43.0282084,-89.5214505
85,53515,53726,0,43.1163045,-89.7567693,43.06903430000001,-89.4245627
86,53515,53792,0,43.1163045,-89.7567693,43.0772547,-89.430773
87,53515,53911,0,43.1163045,-89.7567693,43.3084717,-89.3795835
88,53516,53508,1,42.8052388,-89.9066314,42.8824665,-89.5686271
89,53516,53515,0,42.8052388,-89.9066314,43.1163045,-89.7567693
90,53516,53516,0,42.8052388,-89.9066314,42.8052388,-89.9066314
91,53516,53517,0,42.8052388,-89.9066314,43.029068,-89.8224054
92,53516,53521,0,42.8052388,-89.9066314,42.8428148,-89.41746409999999
93,53516,53523,0,42.8052388,-89.9066314,42.9956897,-88.99880979999999
94,53516,53527,0,42.8052388,-89.9066314,43.0748965,-89.18964299999999
95,53516,53528,0,42.8052388,-89.9066314,43.1160103,-89.64399240000002
96,53516,53529,0,42.8052388,-89.9066314,43.2414003,-89.5025641
97,53516,53531,0,42.8052388,-89.9066314,43.0743333,-89.1134166
98,53516,53532,0,42.8052388,-89.9066314,43.2306919,-89.3037147
99,53516,53534,0,42.8052388,-89.9066314,42.8405704,-89.0752499
100,53516,53544,0,42.8052388,-89.9066314,42.8735021,-89.9159785
101,53516,53558,0,42.8052388,-89.9066314,43.007604,-89.294221
102,53516,53559,0,42.8052388,-89.9066314,43.15161519999999,-89.0752499
103,53516,53562,0,42.8052388,-89.9066314,43.1156039,-89.5308903
104,53516,53572,0,42.8052388,-89.9066314,42.9608139,-89.7192132
105,53516,53574,0,42.8052388,-89.9066314,42.8047254,-89.64399240000002
106,53516,53575,0,42.8052388,-89.9066314,42.9205564,-89.3795835
107,53516,53589,0,42.8052388,-89.9066314,42.9196358,-89.2277026
108,53516,53590,0,42.8052388,-89.9066314,43.1912263,-89.18964299999999
109,53516,53593,0,42.8052388,-89.9066314,42.999243,-89.5686271
110,53516,53594,0,42.8052388,-89.9066314,43.1893806,-88.96053649999999
111,53516,53597,0,42.8052388,-89.9066314,43.192794,-89.4553088
112,53516,53598,0,42.8052388,-89.9066314,43.2066938,-89.336925
113,53516,53703,0,42.8052388,-89.9066314,43.0833196,-89.3724769
114,53516,53704,0,42.8052388,-89.9066314,43.1438143,-89.35114949999999
115,53516,53705,0,42.8052388,-89.9066314,43.0716332,-89.46003689999999
116,53516,53706,0,42.8052388,-89.9066314,43.1054334,-89.42692869999999
117,53516,53711,0,42.8052388,-89.9066314,43.01563729999999,-89.4318454
118,53516,53713,0,42.8052388,-89.9066314,43.0324123,-89.3843206
119,53516,53714,0,42.8052388,-89.9066314,43.099931,-89.3084607
120,53516,53715,0,42.8052388,-89.9066314,43.0592056,-89.4008958
121,53516,53716,0,42.8052388,-89.9066314,43.0709333,-89.32743909999999
122,53516,53717,0,42.8052388,-89.9066314,43.0718858,-89.5167298
123,53516,53718,0,42.8052388,-89.9066314,43.0850514,-89.25622390000001
124,53516,53719,0,42.8052388,-89.9066314,43.0282084,-89.5214505
125,53516,53726,0,42.8052388,-89.9066314,43.06903430000001,-89.4245627
126,53516,53792,0,42.8052388,-89.9066314,43.0772547,-89.430773
127,53516,53925,0,42.8052388,-89.9066314,43.3447367,-89.0370477
128,53517,53508,0,43.029068,-89.8224054,42.8824665,-89.5686271
129,53517,53515,3,43.029068,-89.8224054,43.1163045,-89.7567693
130,53517,53516,0,43.029068,-89.8224054,42.8052388,-89.9066314
131,53517,53517,3,43.029068,-89.8224054,43.029068,-89.8224054
132,53517,53521,0,43.029068,-89.8224054,42.8428148,-89.41746409999999
133,53517,53523,0,43.029068,-89.8224054,42.9956897,-88.99880979999999
134,53517,53527,0,43.029068,-89.8224054,43.0748965,-89.18964299999999
135,53517,53528,4,43.029068,-89.8224054,43.1160103,-89.64399240000002
136,53517,53529,0,43.029068,-89.8224054,43.2414003,-89.5025641
137,53517,53531,1,43.029068,-89.8224054,43.0743333,-89.1134166
138,53517,53532,0,43.029068,-89.8224054,43.2306919,-89.3037147
139,53517,53534,0,43.029068,-89.8224054,42.8405704,-89.0752499
140,53517,53544,0,43.029068,-89.8224054,42.8735021,-89.9159785
